# x,y
# clients,time in milliseconds
1,10769
1,10728
1,10671
1,10654
1,10723
2,4195
2,4195
2,4192
2,4234
2,4204
3,6460
3,6542
3,6545
3,6469
3,6520
4,4487
4,4447
4,4447
4,4425
4,4481
5,5831
5,5842
5,5816
5,5849
5,5798
6,5007
6,5019
6,4996
6,4976
6,5003
7,5780
7,5719
7,5695
7,5753
7,5816
8,5240
8,5196
8,5129
8,5263
8,5194
9,5722
9,5760
9,5687
9,5737
9,5686
10,5137
10,5141
10,5098
10,5131
10,5169
11,5843
11,5753
11,5757
11,5797
11,5796
12,5588
12,5581
12,5530
12,5597
12,5560
13,6414
13,6387
13,6358
13,6400
13,6371
14,5601
14,5671
14,5630
14,5666
14,5643
15,6598
15,6540
15,6511
15,6526
15,6658
16,5977
16,5957
16,5969
16,5964
16,5925
17,7051
17,7054
17,6989
17,6974
17,7010
18,6516
18,6530
18,6583
18,6531
18,6490
19,6526
19,6591
19,6558
19,6616
19,6579
20,6078
20,6048
20,6072
20,6122
20,6036
