# x,y
# clients,time in milliseconds
header, 1, 20 Steps UDP
1,9710
1,9668
1,9678
1,9867
1,9895
2,3598
2,3625
2,3474
2,3462
2,3563
3,3513
3,3477
3,3481
3,3499
3,3461
4,3444
4,3458
4,3428
4,3421
4,3430
5,3456
5,3436
5,3438
5,3470
5,3438
6,3718
6,3754
6,3764
6,3736
6,3746
7,3685
7,3756
7,3655
7,3613
7,3696
8,3832
8,3809
8,3800
8,3809
8,3850
9,3599
9,3633
9,3717
9,3635
9,3589
10,3620
10,3602
10,3626
10,3590
10,3601
11,3709
11,3701
11,3714
11,3687
11,3713
12,3948
12,3909
12,3931
12,3916
12,3912
13,4291
13,4234
13,4246
13,4251
13,4275
14,3796
14,3840
14,3823
14,3820
14,3850
15,4379
15,4388
15,4373
15,4345
15,4339
16,4014
16,3995
16,4020
16,4014
16,4014
17,4754
17,4779
17,4774
17,4745
17,4799
18,4478
18,4489
18,4474
18,4471
18,4438
19,4145
19,4208
19,4181
19,4172
19,4176
20,3883
20,3905
20,3866
20,3882
20,3862
