# x,y
# steps,time in milliseconds
header, 0, Local
1,0
1,0
1,0
1,0
1,0
5,2
5,2
5,2
5,2
5,2
10,5
10,5
10,5
10,5
10,5
15,8
15,8
15,8
15,8
15,8
20,11
20,11
20,11
20,11
20,11
25,14
25,14
25,14
25,14
25,14
30,17
30,17
30,17
30,17
30,17
35,20
35,20
35,20
35,20
35,20
40,23
40,23
40,23
40,23
40,23
45,26
45,26
45,26
45,26
45,26
50,29
50,28
50,28
50,29
50,28
55,31
55,31
55,31
55,31
55,31
60,35
60,34
60,34
60,34
60,34
65,37
65,37
65,37
65,37
65,37
70,40
70,40
70,40
70,40
70,40
75,43
75,43
75,43
75,44
75,43
80,46
80,50
80,46
80,46
80,46
85,49
85,49
85,49
85,49
85,49
90,52
90,52
90,52
90,52
90,52
95,54
95,55
95,55
95,54
95,55
100,58
100,62
100,58
100,58
100,58
