# x,y
# steps,time in milliseconds
1,253
1,256
1,269
1,270
1,263
5,1279
5,1275
5,1273
5,1283
5,1267
10,2562
10,2592
10,2546
10,2547
10,2568
15,3844
15,3881
15,3831
15,3843
15,3812
20,5093
20,5104
20,5096
20,5101
20,5091
25,6432
25,6330
25,6376
25,6389
25,6379
30,7693
30,7763
30,7650
30,7632
30,7674
35,8906
35,8952
35,9033
35,8984
35,8915
40,10261
40,10220
40,10201
40,10126
40,10156
45,11473
45,11414
45,11447
45,11448
45,11545
50,12725
50,12828
50,12727
50,12762
50,12742
55,14069
55,14048
55,14012
55,14113
55,14078
60,15373
60,15419
60,15272
60,15346
60,15229
65,16609
65,16687
65,16773
65,16594
65,16643
70,17868
70,17768
70,17800
70,17700
70,17946
75,19131
75,19182
75,19060
75,19119
75,19105
80,20599
80,20452
80,20448
80,20554
80,20349
85,21795
85,21781
85,21759
85,21579
85,21601
90,23248
90,23102
90,22766
90,23038
90,23113
95,24334
95,24280
95,24044
95,24044
95,24187
100,25368
100,25415
100,25331
100,25666
100,25478
