# x,y
# steps,time in milliseconds
header, 0, 10 Clients UDP
1,171
1,170
1,171
1,171
1,171
5,859
5,851
5,851
5,853
5,854
10,1713
10,1712
10,1701
10,1706
10,1713
15,2570
15,2574
15,2582
15,2573
15,2560
20,3436
20,3419
20,3453
20,3407
20,3383
25,4259
25,4253
25,4260
25,4243
25,4275
30,5175
30,5143
30,5097
30,5097
30,5152
35,6008
35,5987
35,5976
35,5992
35,5973
40,6837
40,6846
40,6843
40,6831
40,6844
45,7757
45,7694
45,7657
45,7698
45,7673
50,8533
50,8548
50,8546
50,8546
50,8513
55,9398
55,9399
55,9413
55,9374
55,9482
60,10241
60,10297
60,10267
60,10292
60,10228
65,11124
65,11052
65,11179
65,11122
65,11154
70,11950
70,11973
70,11894
70,11949
70,11993
75,12790
75,12804
75,12867
75,12805
75,12799
80,13645
80,13646
80,13687
80,13653
80,13644
85,14463
85,14437
85,14598
85,14438
85,14461
90,15480
90,15312
90,15287
90,15356
90,15372
95,21139
95,16224
95,16254
95,16169
95,16235
100,17058
100,17096
100,17140
100,17002
100,16963
