# x,y
# steps,time in milliseconds
header, 0, 20 Clients TCP
1,309
1,305
1,307
1,309
1,309
5,1510
5,1512
5,1555
5,1550
5,1535
10,3012
10,3033
10,3063
10,3040
10,3010
15,4508
15,4550
15,4553
15,4554
15,4525
20,6019
20,6028
20,6049
20,6102
20,6110
25,7583
25,7553
25,7605
25,7568
25,7617
30,9030
30,9074
30,9107
30,9117
30,9082
35,10738
35,10623
35,10567
35,10758
35,10620
40,12132
40,12161
40,12206
40,12056
40,12109
45,13598
45,13581
45,13817
45,13692
45,13541
50,15100
50,15155
50,15081
50,15232
50,15234
55,16655
55,16630
55,16702
55,16723
55,16647
60,18110
60,18133
60,18172
60,18208
60,18128
65,19430
65,19831
65,19599
65,19694
65,19737
70,20987
70,21329
70,21137
70,21289
70,20939
75,22708
75,22721
75,22633
75,22547
75,22831
80,24265
80,24297
80,24371
80,24295
80,24165
85,25779
85,25772
85,25731
85,25516
85,25858
90,27333
90,27210
90,27241
90,27179
90,27279
95,28843
95,28874
95,29036
95,28895
95,28695
100,30158
100,30387
100,30186
100,30282
100,30435
