# x,y
# steps,time in milliseconds
1,179
1,178
1,179
1,179
1,179
5,900
5,890
5,887
5,897
5,891
10,1772
10,1779
10,1798
10,1770
10,1784
15,2683
15,2685
15,2654
15,2675
15,2676
20,3534
20,3536
20,3554
20,3550
20,3544
25,4446
25,4433
25,4433
25,4472
25,4465
30,5365
30,5362
30,5348
30,5336
30,5339
35,6206
35,6224
35,6222
35,6278
35,6230
40,7105
40,7077
40,7098
40,7146
40,7132
45,8041
45,8084
45,7997
45,8056
45,8028
50,8835
50,8909
50,8864
50,8950
50,8940
55,9754
55,9728
55,9795
55,9861
55,9839
60,10753
60,10626
60,10699
60,10716
60,10633
65,11547
65,11520
65,11567
65,11564
65,11566
70,12436
70,12485
70,12420
70,12365
70,12429
75,13278
75,13274
75,13326
75,13324
75,13348
80,14257
80,14168
80,14244
80,14163
80,14268
85,15098
85,15046
85,15049
85,15031
85,15032
90,15984
90,15962
90,15997
90,16022
90,16086
95,16904
95,16922
95,16891
95,16721
95,16810
100,17702
100,17732
100,17836
100,17849
100,17840
